dataset,model,qini_mean,qini_std,auuc_mean,auuc_std,n_folds
hillstrom,treat_everyone,0.0,0.0,0.0,0.0,5
hillstrom,response_model,0.019719225364519675,0.016982826932321934,0.01111340894244132,0.009891227508076975,5
hillstrom,s_learner,0.008816995324341619,0.017395886473986603,0.004854967952666096,0.009830909773046742,5
hillstrom,t_learner,0.01338643087717899,0.021417775149972222,0.007411875130190468,0.012232045227197366,5
hillstrom,x_learner,0.008489603558252557,0.016829365538019576,0.0048803070479302695,0.009598517994378511,5
criteo,treat_everyone,0.0,0.0,0.0,0.0,5
criteo,response_model,0.08772928511719993,0.007440175109188488,0.03451206310590228,0.0030263765711918706,5
criteo,s_learner,0.09271660863327301,0.01096028877581189,0.036372341965638814,0.004390019469729503,5
criteo,t_learner,0.0703362189225041,0.016816544288981335,0.027541686495484264,0.0066626899415217055,5
criteo,x_learner,0.07286095109511934,0.014454508118833878,0.02857597387775405,0.005774606892665469,5
