dataset,model,decile,n_treated,n_control,response_treated,response_control,observed_uplift
hillstrom,response_model,1,842,438,0.26128266033254155,0.1872146118721461,0.07406804846039544
hillstrom,response_model,2,860,420,0.24883720930232558,0.17142857142857143,0.07740863787375415
hillstrom,response_model,3,863,417,0.20278099652375434,0.13908872901678657,0.06369226750696777
hillstrom,response_model,4,833,447,0.1908763505402161,0.12304250559284116,0.06783384494737493
hillstrom,response_model,5,847,433,0.17591499409681227,0.11085450346420324,0.06506049063260903
hillstrom,response_model,6,854,426,0.1522248243559719,0.107981220657277,0.0442436036986949
hillstrom,response_model,7,863,417,0.13789107763615296,0.08393285371702638,0.05395822391912658
hillstrom,response_model,8,877,403,0.12884834663625996,0.04962779156327544,0.07922055507298453
hillstrom,response_model,9,860,420,0.10348837209302325,0.06190476190476191,0.041583610188261344
hillstrom,response_model,10,840,440,0.06904761904761905,0.022727272727272728,0.046320346320346324
hillstrom,uplift_forest,1,853,427,0.2543962485345838,0.10304449648711944,0.15135175204746437
hillstrom,uplift_forest,2,857,423,0.20186697782963828,0.11347517730496454,0.08839180052467374
hillstrom,uplift_forest,3,812,468,0.15147783251231528,0.08547008547008547,0.06600774704222981
hillstrom,uplift_forest,4,864,416,0.1550925925925926,0.07932692307692307,0.07576566951566951
hillstrom,uplift_forest,5,851,429,0.18566392479435959,0.1351981351981352,0.050465789596224386
hillstrom,uplift_forest,6,831,449,0.19855595667870035,0.1358574610244989,0.06269849565420146
hillstrom,uplift_forest,7,874,406,0.14988558352402745,0.16009852216748768,-0.010212938643460234
hillstrom,uplift_forest,8,883,397,0.11551528878822197,0.08060453400503778,0.034910754783184186
hillstrom,uplift_forest,9,862,418,0.11832946635730858,0.05263157894736842,0.06569788740994016
hillstrom,uplift_forest,10,852,428,0.142018779342723,0.11448598130841121,0.027532798034311787
criteo,response_model,1,17222,2778,0.37417256996864473,0.31137508999280056,0.06279747997584417
criteo,response_model,2,17019,2981,0.0707444620718021,0.05836967460583697,0.012374787465965133
criteo,response_model,3,16961,3039,0.0197511939154531,0.018427114182296808,0.0013240797331562915
criteo,response_model,4,16930,3070,0.008151210868281158,0.006188925081433224,0.0019622857868479334
criteo,response_model,5,16911,3089,0.004375850038436521,0.0032372936225315637,0.0011385564159049574
criteo,response_model,6,17015,2985,0.002644725242433147,0.0020100502512562816,0.0006346749911768654
criteo,response_model,7,16958,3042,0.0009435074890906947,0.0006574621959237344,0.0002860452931669603
criteo,response_model,8,17008,2992,0.0008819379115710254,0.001002673796791444,-0.00012073588522041852
criteo,response_model,9,16940,3060,0.0008854781582054309,0.000980392156862745,-9.491399865731414e-05
criteo,response_model,10,17036,2964,0.00046959380136182204,0.0006747638326585695,-0.00020517003129674744
criteo,uplift_forest,1,17300,2700,0.25427745664739887,0.18259259259259258,0.07168486405480629
criteo,uplift_forest,2,17074,2926,0.09962516106360549,0.09671907040328093,0.002906090660324559
criteo,uplift_forest,3,16850,3150,0.05679525222551929,0.049206349206349205,0.007588903019170083
criteo,uplift_forest,4,16908,3092,0.024899455878873905,0.02425614489003881,0.0006433109888350948
criteo,uplift_forest,5,16952,3048,0.014157621519584709,0.013451443569553806,0.0007061779500309034
criteo,uplift_forest,6,16929,3071,0.006084234154409593,0.005861282969716704,0.00022295118469288847
criteo,uplift_forest,7,17009,2991,0.00135222529249221,0.0013373453694416582,1.4879923050551769e-05
criteo,uplift_forest,8,17040,2960,0.0007042253521126761,0.0010135135135135136,-0.0003092881614008375
criteo,uplift_forest,9,16986,3014,0.0012363122571529496,0.0009953550099535502,0.00024095724719939938
criteo,uplift_forest,10,16952,3048,0.024598867390278435,0.021325459317585303,0.0032734080726931312
